Comunidad Autónoma;Casos;Total
Total víctimas;Número de casos;48,0
Andalucía;Número de casos;10,0
Aragón;Número de casos;1,0
Asturias, Principado de;Número de casos;0,0
Balears, Illes;Número de casos;1,0
Canarias;Número de casos;0,0
Cantabria;Número de casos;0,0
Castilla - La Mancha;Número de casos;2,0
Castilla y León;Número de casos;2,0
Cataluña;Número de casos;12,0
Comunitat Valenciana;Número de casos;7,0
Extremadura;Número de casos;0,0
Galicia;Número de casos;5,0
Madrid, Comunidad de;Número de casos;4,0
Murcia, Región de;Número de casos;1,0
Navarra, Comunidad Foral de;Número de casos;0,0
País Vasco;Número de casos;2,0
Rioja, La;Número de casos;1,0
Ceuta;Número de casos;0,0
Melilla;Número de casos;0,0
